Country,Alcohol_consumption,GDP,Population,Continent
Poland,11.71,31674.13162,37921585,Europe
Portugal,12.03,34040.72556,10256192,Europe
Qatar,1.59,90970.0609,2781682,Asia
Romania,11.74,28523.47318,19506110,Europe
Russia,11.19,26656.40954,145734034,Europe
Rwanda,8.95,2088.749224,12301969,Africa
Saint Kitts and Nevis,8.94,25901.6333,52438,North America
Saint Lucia,10.6,15261.36435,181890,North America
Saint Vincent and the Grenadines,9.06,12466.41614,110210,North America
Samoa,2.66,6322.208997,196128,Oceania
Sao Tome and Principe,5.88,3993.278796,211032,Africa
Saudi Arabia,0.19,47592.76715,33702757,Asia
Senegal,0.76,3309.486173,15854324,Africa
Serbia,8.75,17452.7959,8802741,Europe
Seychelles,20.5,27342.16165,97094,Africa
Sierra Leone,5.7,1663.29348,7650149,Africa
Singapore,2.03,98222.84604,5757503,Asia
Slovakia,11.14,31132.57297,5453017,Europe
Slovenia,11.9,37968.35206,2077835,Europe
Solomon Islands,1.83,2697.646431,652856,Oceania
Somalia,0.009,866.7653021,15008225,Africa
South Africa,9.52,12627.92858,57792520,Africa
South Korea,9.7,41948.34601,51171700,Asia
Spain,12.72,40312.54759,46692863,Europe
Sri Lanka,4.1,12860.32083,21228760,Asia
Sudan,0.51,4344.529887,41801532,Africa
Suriname,5.33,19005.65435,575987,South America
Sweden,8.93,52349.29243,9971630,Europe
Switzerland,11.53,70663.4876,8525614,Europe
Syria,0.24,1924.116904,16945062,Asia
Tajikistan,3.28,3415.322336,9100847,Asia
Tanzania,11.27,2590.201138,56313444,Africa
Thailand,8.3,18095.73657,69428454,Asia
Timor,2.17,3051.668117,1267975,Asia
Togo,2.46,2061.334176,7889095,Africa
Tonga,0.8,6411.289368,103199,Oceania
Trinidad and Tobago,6.72,26250.37224,1389841,North America
Tunisia,2.12,10763.72978,11565203,Africa
Turkey,2.05,28312.68342,82340090,Asia
Turkmenistan,4.93,14845.34465,5850902,Asia
Tuvalu,1.52,3945.563673,11505,Oceania
Uganda,15.09,2121.96782,42729032,Africa
Ukraine,8.32,12338.00245,44246158,Europe
United Arab Emirates,3.9,66968.22118,9630966,Asia
United Kingdom,11.45,46037.90054,67141678,Europe
United States,9.87,61585.75604,327096263,North America
Uruguay,6.92,23035.08339,3449290,South America
Uzbekistan,2.59,6755.480974,32476232,Asia
Vanuatu,2.25,3093.461547,292675,Oceania
Venezuela,4.14,8573.789604,28887117,South America
Vietnam,8.66,7585.943155,95545959,Asia
Yemen,0.051,3037.808066,28498683,Asia
Zambia,6.54,3521.542063,17351714,Africa
Zimbabwe,4.67,3341.665418,14438812,Africa
